id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2024-519339,2024-02-06,000001,Vente,275000,104,,RUE MARC SANGNIER,6118,94700,94046,Maisons-Alfort,94,,,94046000AF0119,,,138,,48,73.84,,,,,,,2,3,Dépendance,,0,,,,,,2.451891,48.805571
2024-519339,2024-02-06,000001,Vente,275000,96,,RUE MARC SANGNIER,6118,94700,94046,Maisons-Alfort,94,,,94046000AF0119,,,709,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.451891,48.805571
2024-519340,2024-01-25,000001,Vente,280000,23,,RUE DE LA DIV DU GAL LECLERC,2535,94250,94037,Gentilly,94,,,940370000K0286,,,7,60.62,,,,,,,,,1,2,Appartement,59,3,,,,,,2.349619,48.812681
2024-519340,2024-01-25,000001,Vente,280000,23,,RUE DE LA DIV DU GAL LECLERC,2535,94250,94037,Gentilly,94,,,940370000K0286,,,7,60.62,,,,,,,,,1,3,Dépendance,,0,,,,,,2.349619,48.812681
2024-519341,2024-02-01,000001,Vente,50000,23,,RUE CARNOT,1409,94700,94046,Maisons-Alfort,94,,,94046000AO0015,,,5,14.86,,,,,,,,,1,2,Appartement,20,1,,,,,,2.437038,48.802001
2024-519342,2024-01-17,000001,Vente,110000,81,,AV BARBES,0620,94100,94068,Saint-Maur-des-Fossés,94,,,94068000DZ0179,,,1,,10,,11,,6,34.22,,,4,4,Local industriel. commercial ou assimilé,35,0,,,,,,2.489746,48.793284
2024-519343,2024-02-06,000001,Vente,237000,166,,BD DE CRETEIL,1680,94100,94068,Saint-Maur-des-Fossés,94,,,94068000CF0112,,,14,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.493937,48.797789
2024-519343,2024-02-06,000001,Vente,237000,166,,BD DE CRETEIL,1680,94100,94068,Saint-Maur-des-Fossés,94,,,94068000CF0112,,,2,30.84,,,,,,,,,1,2,Appartement,31,1,,,,,,2.493937,48.797789
2024-519344,2024-02-14,000001,Vente,100000,61,,RUE DU PRESIDENT WILSON,1530,94190,94078,Villeneuve-Saint-Georges,94,,,94078000AH0222,,,13,,8,36.16,,,,,,,2,2,Appartement,35,2,,,,,,2.452546,48.739367
2024-519344,2024-02-14,000001,Vente,100000,61,,RUE DU PRESIDENT WILSON,1530,94190,94078,Villeneuve-Saint-Georges,94,,,94078000AH0222,,,13,,8,36.16,,,,,,,2,3,Dépendance,,0,,,,,,2.452546,48.739367
2024-519345,2024-02-15,000001,Vente,221750,1,,RUE SCHOELCHER,8528,94000,94028,Créteil,94,,,94028000AP0323,,,124,82.17,,,,,,,,,1,2,Appartement,84,3,,,,,,2.46714,48.771406
2024-519345,2024-02-15,000001,Vente,221750,1,,RUE SCHOELCHER,8528,94000,94028,Créteil,94,,,94028000AP0323,,,124,82.17,,,,,,,,,1,3,Dépendance,,0,,,,,,2.46714,48.771406
2024-519345,2024-02-15,000001,Vente,221750,2,,RUE SATIE,8526,94000,94028,Créteil,94,,,94028000AP0323,,,405,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.46714,48.771406
2024-519346,2024-02-13,000001,Vente,307000,54,,AV DE RIGNY,8140,94360,94015,Bry-sur-Marne,94,,,940150000J0006,,,145,63.27,91,,,,,,,,2,2,Appartement,64,3,,,,,,2.520333,48.841879
2024-519346,2024-02-13,000001,Vente,307000,54,,AV DE RIGNY,8140,94360,94015,Bry-sur-Marne,94,,,940150000J0006,,,39,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.520333,48.841879
2024-519346,2024-02-13,000001,Vente,307000,54,,AV DE RIGNY,8140,94360,94015,Bry-sur-Marne,94,,,940150000J0006,,,145,63.27,91,,,,,,,,2,3,Dépendance,,0,,,,,,2.520333,48.841879
2024-519347,2024-02-08,000001,Vente,261000,36,,RUE DE MUSSELBURGH,6292,94500,94017,Champigny-sur-Marne,94,,,94017000AZ0084,,,194,,6,62.03,,,,,,,2,3,Dépendance,,0,,,,,,2.518962,48.809423
2024-519347,2024-02-08,000001,Vente,261000,36,,RUE DE MUSSELBURGH,6292,94500,94017,Champigny-sur-Marne,94,,,94017000AZ0084,,,380,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.518962,48.809423
2024-519347,2024-02-08,000001,Vente,261000,36,,RUE DE MUSSELBURGH,6292,94500,94017,Champigny-sur-Marne,94,,,94017000AZ0084,,,194,,6,62.03,,,,,,,2,2,Appartement,68,3,,,,,,2.518962,48.809423
2024-519348,2024-02-09,000001,Vente,172000,6,,RUE HENRI LEDUC,0870,94190,94078,Villeneuve-Saint-Georges,94,,,94078000AO0491,,,115,68.24,116,,,,,,,,2,3,Dépendance,,0,,,,,,2.448603,48.731543
2024-519348,2024-02-09,000001,Vente,172000,6,,RUE HENRI LEDUC,0870,94190,94078,Villeneuve-Saint-Georges,94,,,94078000AO0491,,,115,68.24,116,,,,,,,,2,2,Appartement,66,4,,,,,,2.448603,48.731543
2024-519349,2024-02-02,000001,Vente,310000,89,,AV DU GENERAL DE GAULLE,4148,94500,94017,Champigny-sur-Marne,94,,,940170000H0178,,,169,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.49302,48.822997
2024-519349,2024-02-02,000001,Vente,310000,89,,AV DU GENERAL DE GAULLE,4148,94500,94017,Champigny-sur-Marne,94,,,940170000H0178,,,151,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.49302,48.822997
2024-519349,2024-02-02,000001,Vente,310000,89,,AV DU GENERAL DE GAULLE,4148,94500,94017,Champigny-sur-Marne,94,,,940170000H0178,,,121,76.89,,,,,,,,,1,2,Appartement,80,4,,,,,,2.49302,48.822997
2024-519350,2024-01-31,000001,Vente,27500,9,,RUE LT VAISSEAU ESTIENNE ORVES,5128,94700,94046,Maisons-Alfort,94,,,940460000G0146,,,25,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.431458,48.814526
2024-519351,2024-01-23,000001,Vente,235000,7,,RUE DAGOBERT,2510,94130,94052,Nogent-sur-Marne,94,,,94052000AG0147,,,41,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.48912,48.836138
2024-519351,2024-01-23,000001,Vente,235000,7,,RUE DAGOBERT,2510,94130,94052,Nogent-sur-Marne,94,,,94052000AG0147,,,31,46.76,32,,,,,,,,2,2,Appartement,41,2,,,,,,2.48912,48.836138
2024-519351,2024-01-23,000001,Vente,235000,7,,RUE DAGOBERT,2510,94130,94052,Nogent-sur-Marne,94,,,94052000AG0147,,,31,46.76,32,,,,,,,,2,3,Dépendance,,0,,,,,,2.48912,48.836138
2024-519352,2024-01-26,000001,Vente,250000,12,,RUE SIMONE DE BEAUVOIR,8603,94140,94002,Alfortville,94,,,940020000K0062,,,20,,,,,,,,,,1,2,Appartement,46,2,,,,,,2.410827,48.808464
2024-519352,2024-01-26,000001,Vente,250000,14,,RUE SIMONE DE BEAUVOIR,8603,94140,94002,Alfortville,94,,,940020000K0062,,,76,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.410827,48.808464
2024-519353,2024-02-15,000001,Vente,185000,9002,,AV DE VALENTON,0580,94450,94044,Limeil-Brévannes,94,,,94044000AK0213,,,240,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.501734,48.744279
2024-519353,2024-02-15,000001,Vente,185000,9003,,AV DE VALENTON,0580,94450,94044,Limeil-Brévannes,94,,,94044000AK0213,,,204,66.53,,,,,,,,,1,2,Appartement,63,3,,,,,,2.501734,48.744279
2024-519354,2024-02-02,000001,Vente,335000,114,,AV DANIELLE CASANOVA,2505,94200,94041,Ivry-sur-Seine,94,,,940410000N0006,,,81,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.382898,48.815172
2024-519354,2024-02-02,000001,Vente,335000,114,,AV DANIELLE CASANOVA,2505,94200,94041,Ivry-sur-Seine,94,,,940410000N0006,,,49,,66,,,,,,,,2,2,Appartement,72,4,,,,,,2.382898,48.815172
2024-519354,2024-02-02,000001,Vente,335000,114,,AV DANIELLE CASANOVA,2505,94200,94041,Ivry-sur-Seine,94,,,940410000N0006,,,49,,66,,,,,,,,2,3,Dépendance,,0,,,,,,2.382898,48.815172
2024-519355,2024-02-05,000001,Vente,250000,22,,RUE HENRI BARBUSSE,4440,94800,94076,Villejuif,94,,,940760000O0227,,,72,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.366135,48.802777
2024-519355,2024-02-05,000001,Vente,250000,22,,RUE HENRI BARBUSSE,4440,94800,94076,Villejuif,94,,,940760000O0227,,,26,46.86,,,,,,,,,1,2,Appartement,46,2,,,,,,2.366135,48.802777
